agent_id,o_zone_id,d_zone_id,o_node_id,d_node_id,agent_type,time_period,volume,cost,travel_time,distance,node_sequence,time_sequence
1,1,2,100900,400935,train_path,0900_0935,1,35,35,35,100900;200912;300922;400935,0900;0912;0922;0935
2,2,1,400910,100941,train_path,0910_0941,1,31,31,31,400910;300922;300935;200938;100941,0910;0922;0935;0938;0941
3,1,2,100922,401005,train_path,0922_1005,1,43,43,43,100922;200937;200940;300952;401005,0922;0937;0940;0952;1005
4,1,2,100935,401010,train_path,0935_1010,1,35,35,35,100935;200947;300957;401010,0935;0947;0957;1010
5,2,1,400938,101020,train_path,0938_1020,1,42,42,42,400938;300950;201003;201005;101020,0938;0950;1003;1005;1020
